,text,ipa,syllables,stress,audio_files,audio_urls
1642,تبادل,ɪtˈbæː.dal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تبادَل.wav,https://upload.wikimedia.org/wikipedia/commons/a/a5/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A8%D8%A7%D8%AF%D9%8E%D9%84.wav
1643,تبخر,(ɪ)tˈbax.xar,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تبَخَّر.wav,https://upload.wikimedia.org/wikipedia/commons/4/44/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A8%D9%8E%D8%AE%D9%8E%D9%91%D8%B1.wav
1644,تبدل,ɪtˈbad.dal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تبَدَّل.wav,https://upload.wikimedia.org/wikipedia/commons/1/14/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A8%D9%8E%D8%AF%D9%8E%D9%91%D9%84.wav
1645,تبرع,ɪtˈbar.raʕ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تبَرَّع.wav,https://upload.wikimedia.org/wikipedia/commons/c/cb/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%A8%D9%8E%D8%B1%D9%8E%D9%91%D8%B9.wav
1646,تتاوب,(ɪ)tˈtæː.wab,3,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-تتاوَب.wav,https://upload.wikimedia.org/wikipedia/commons/6/61/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%AA%D8%AA%D8%A7%D9%88%D9%8E%D8%A8.wav
1647,تجاهل,ɪdˈʒæː.hal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تجاهَل.wav,https://upload.wikimedia.org/wikipedia/commons/0/05/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AC%D8%A7%D9%87%D9%8E%D9%84.wav
1648,تجعلك,(ɪ)tˈʒaʕ.lak,3,2,LL-Q55633582 (ajp)-Mohammad-LPA-تجعلك.wav,https://upload.wikimedia.org/wikipedia/commons/a/a3/LL-Q55633582_%28ajp%29-Mohammad-LPA-%D8%AA%D8%AC%D8%B9%D9%84%D9%83.wav
1649,تجمع,ɪdˈʒam.maʕ,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تجَمَّع.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AC%D9%8E%D9%85%D9%8E%D9%91%D8%B9.wav
1650,تجنب,ɪdˈʒan.nab,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تجنّب.wav,https://upload.wikimedia.org/wikipedia/commons/9/91/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AC%D9%86%D9%91%D8%A8.wav
1651,تجول,ɪdˈʒaw.wal,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تجَوَّل.wav,https://upload.wikimedia.org/wikipedia/commons/b/ba/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AC%D9%8E%D9%88%D9%8E%D9%91%D9%84.wav
1652,تحارب,ɪtˈħæː.rab,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تحارَب.wav,https://upload.wikimedia.org/wikipedia/commons/e/e7/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AD%D8%A7%D8%B1%D9%8E%D8%A8.wav
1653,تحدث,ɪtˈħad.das,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تَحَدَّث.wav,https://upload.wikimedia.org/wikipedia/commons/e/ea/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D9%8E%D8%AD%D9%8E%D8%AF%D9%8E%D9%91%D8%AB.wav
1654,تحدى,ɪtˈħad.da,3,2,LL-Q55633582 (ajp)-Khalil.rantissi-تحَدّى.wav,https://upload.wikimedia.org/wikipedia/commons/c/c2/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D8%AD%D9%8E%D8%AF%D9%91%D9%89.wav
