fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file1121.TextGrid,1,0.380,51,68,65,65,65,65,66,67,61,56,64.318
file1121.TextGrid,2,0.600,56,82,82,82,77,75,72,45,44,22,67.329
file1122.TextGrid,1,0.170,48,71,80,82,83,82,81,80,78,75,78.015
file1122.TextGrid,2,0.510,75,74,84,81,82,81,73,65,56,47,73.087
file1123.TextGrid,1,0.230,9,30,49,55,59,62,57,45,65,66,51.103
file1123.TextGrid,2,0.430,66,76,76,74,72,70,66,61,50,35,66.352
file1124.TextGrid,1,0.340,73,72,67,67,84,68,63,57,57,59,66.879
file1124.TextGrid,2,0.290,59,70,82,84,83,82,71,66,62,61,73.495
file1125.TextGrid,1,0.380,-2,39,48,52,53,59,78,79,70,58,57.188
file1125.TextGrid,2,0.510,58,50,48,55,76,75,73,52,44,40,58.760
file1126.TextGrid,1,0.280,27,66,74,72,77,72,62,60,58,63,65.174
file1126.TextGrid,2,0.610,63,64,77,77,66,61,48,43,39,31,57.470
file1127.TextGrid,1,0.510,32,73,86,86,84,82,85,83,65,60,77.581
file1127.TextGrid,2,0.160,60,59,60,60,56,54,50,50,49,47,54.638
file1128.TextGrid,1,0.260,29,48,65,65,56,77,77,69,64,66,63.143
file1128.TextGrid,2,0.710,66,78,80,83,74,68,61,56,44,37,66.062
file1129.TextGrid,1,0.280,17,47,66,70,73,77,78,78,78,80,68.517
file1129.TextGrid,2,0.690,80,80,83,80,75,74,65,55,34,24,67.174
file113.TextGrid,1,0.150,35,44,64,76,84,85,79,69,67,66,68.555
file113.TextGrid,2,0.540,66,59,57,84,84,72,61,55,53,37,64.559
file1130.TextGrid,1,0.320,28,59,69,68,83,68,60,53,51,47,61.322
file1130.TextGrid,2,0.300,47,76,77,76,71,66,58,53,41,36,62.367
file1131.TextGrid,1,0.360,12,61,67,71,74,76,59,49,49,55,60.607
file1131.TextGrid,2,0.620,55,70,73,71,72,69,62,57,46,27,62.833
file1132.TextGrid,1,0.540,20,57,55,66,83,77,83,81,77,74,70.476
file1132.TextGrid,2,0.360,74,78,75,75,76,75,61,56,54,43,68.095
file1133.TextGrid,1,0.480,-0.6,55,59,72,83,85,85,85,76,64,71.832
file1133.TextGrid,2,0.580,64,54,76,79,72,65,58,56,46,19,61.449
file1134.TextGrid,1,0.210,30,48,62,67,62,82,86,84,84,77,70.146
file1134.TextGrid,2,0.510,77,65,68,86,81,65,65,59,54,47,67.344
